[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Floor_Standard.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Floor_Standard.015
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Location: X -10.047800 Y 1.989100 Z -16.796900
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Floor_Standard.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Floor_Diamond
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Location: X 3.046600 Y 0.000000 Z -3.867700
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Floor_Diamond.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Floor_Diamond.001
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Location: X -3.033000 Y 0.000000 Z -3.856700
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Floor_Diamond.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Floor_Standard.025
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Location: X 5.092100 Y 0.000000 Z -3.887900
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Floor_Standard.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Floor_Standard.026
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Location: X 7.064500 Y 0.000000 Z -3.887900
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Floor_Standard.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Floor_Standard.027
